127.0.0.1 - - [30/Nov/2020:16:14:38 -0500] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:14:41 -0500] "GET /ProjectOne/resources/html/managerprofile.html HTTP/1.1" 200 31039
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:14:41 -0500] "GET /ProjectOne/resources/html/assets/img/avataaars.svg HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:14:41 -0500] "GET /ProjectOne/resources/html/css/styles.css HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:14:41 -0500] "GET /ProjectOne/resources/html/assets/img/portfolio/cabin.png HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:14:41 -0500] "GET /ProjectOne/resources/html/assets/img/portfolio/cake.png HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:14:41 -0500] "GET /ProjectOne/resources/html/assets/img/portfolio/circus.png HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:14:41 -0500] "GET /ProjectOne/resources/html/assets/img/portfolio/game.png HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:14:41 -0500] "GET /ProjectOne/resources/html/assets/img/portfolio/safe.png HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:14:41 -0500] "GET /ProjectOne/resources/html/assets/img/portfolio/submarine.png HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:14:42 -0500] "GET /ProjectOne/resources/html/assets/mail/jqBootstrapValidation.js HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:14:42 -0500] "GET /ProjectOne/resources/html/assets/mail/contact_me.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:14:42 -0500] "GET /ProjectOne/resources/html/js/scripts.js HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:57:17 -0500] "GET /ProjectOne/resources/html/managerprofile.html HTTP/1.1" 200 31043
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:57:17 -0500] "GET /ProjectOne/resources/html/assets/img/avataaars.svg HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:57:17 -0500] "GET /ProjectOne/resources/html/managerprofile.css HTTP/1.1" 200 197614
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:57:17 -0500] "GET /ProjectOne/resources/html/assets/img/portfolio/cabin.png HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:57:17 -0500] "GET /ProjectOne/resources/html/assets/img/portfolio/cake.png HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:57:17 -0500] "GET /ProjectOne/resources/html/assets/img/portfolio/circus.png HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:57:17 -0500] "GET /ProjectOne/resources/html/assets/img/portfolio/game.png HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:57:17 -0500] "GET /ProjectOne/resources/html/assets/img/portfolio/safe.png HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:57:17 -0500] "GET /ProjectOne/resources/html/assets/img/portfolio/submarine.png HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:57:17 -0500] "GET /ProjectOne/resources/html/assets/mail/contact_me.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:57:17 -0500] "GET /ProjectOne/resources/html/assets/mail/jqBootstrapValidation.js HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:57:17 -0500] "GET /ProjectOne/resources/html/js/scripts.js HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [30/Nov/2020:17:26:58 -0500] "GET /ProjectOne/resources/html/managerprofile.html HTTP/1.1" 200 30266
0:0:0:0:0:0:0:1 - - [30/Nov/2020:17:26:58 -0500] "GET /ProjectOne/resources/html/assets/img/avataaars.svg HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [30/Nov/2020:17:26:58 -0500] "GET /ProjectOne/resources/html/assets/mail/jqBootstrapValidation.js HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [30/Nov/2020:17:26:58 -0500] "GET /ProjectOne/resources/html/assets/mail/contact_me.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [30/Nov/2020:17:26:58 -0500] "GET /ProjectOne/resources/html/js/scripts.js HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [30/Nov/2020:17:26:58 -0500] "GET /ProjectOne/resources/html/assets/img/portfolio/cabin.png HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [30/Nov/2020:17:26:58 -0500] "GET /ProjectOne/resources/html/assets/img/portfolio/cake.png HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [30/Nov/2020:17:26:58 -0500] "GET /ProjectOne/resources/html/managerprofile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2020:17:26:58 -0500] "GET /ProjectOne/resources/html/assets/img/portfolio/circus.png HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [30/Nov/2020:17:26:58 -0500] "GET /ProjectOne/resources/html/assets/img/portfolio/safe.png HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [30/Nov/2020:17:26:58 -0500] "GET /ProjectOne/resources/html/assets/img/portfolio/submarine.png HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [30/Nov/2020:17:26:58 -0500] "GET /ProjectOne/resources/html/assets/img/portfolio/game.png HTTP/1.1" 404 830
